COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Lazio - U05;12;PIU-EUROPA;1048.6148982844861;272129.6387881413;0.020248350462415604
Lazio - U06;12;PIU-EUROPA;100.0;263396.61430072784;0.02291805618593321
Abruzzo - U01;13;PIU-EUROPA;156.35003884289722;326782.35374599695;0.021909669479880132
Molise - U01;14;PIU-EUROPA;100.0;149550.0;0.03804944618661748
Campania - U01;15;PIU-EUROPA;100.0;254987.3588103056;0.01723862898171684
Campania - U02;15;PIU-EUROPA;100.0;237570.71353250742;0.018439475678083805
Campania - U03;15;PIU-EUROPA;100.0;234154.760910701;0.021743410446512665
Campania - U04;15;PIU-EUROPA;1416.176505478506;191402.93359225988;0.01866455166393602
Campania - U05;15;PIU-EUROPA;100.0;254727.94505777955;0.03134926318745419
Campania - U06;15;PIU-EUROPA;100.0;239903.60182176347;0.022156745209932133
Campania - U07;15;PIU-EUROPA;100.0;224599.40623291582;0.021882707532256327
Puglia - U01;16;PIU-EUROPA;100.0;202591.9978326559;0.017481379244655277
Puglia - U02;16;PIU-EUROPA;100.0;236896.74676036835;0.018714106239671117
Puglia - U03;16;PIU-EUROPA;100.0;245213.39931461215;0.027168123913983305
Puglia - U04;16;PIU-EUROPA;100.0;242377.92115074396;0.01713723610712835
Puglia - U05;16;PIU-EUROPA;100.0;254685.83316797018;0.022299030420585574
Basilicata - U01;17;PIU-EUROPA;100.0;276215.0;0.022834979667045802
Calabria - U01;18;PIU-EUROPA;100.0;202176.98605054617;0.02215348982731052
Calabria - U02;18;PIU-EUROPA;100.0;205483.29352986813;0.0212848764825975
Sicilia - U01;19;PIU-EUROPA;100.0;232841.1329860687;0.019508265015537204
Sicilia - U02;19;PIU-EUROPA;100.0;239444.15840884298;0.023668299518455796
Sicilia - U03;19;PIU-EUROPA;100.0;213472.043840006;0.012171713610568314
Sicilia - U04;19;PIU-EUROPA;100.0;247416.922534734;0.02137814375580268
Sicilia - U05;19;PIU-EUROPA;100.0;274350.733809188;0.020578547653238695
Sicilia - U06;19;PIU-EUROPA;100.0;219474.65565258265;0.08627440139919003
Sardegna - U01;20;PIU-EUROPA;814.9887176454504;268314.06698548794;0.02020072715174072
Sardegna - U02;20;PIU-EUROPA;100.0;239644.55647927523;0.015966679546638694
Piemonte - U01;1;ITALEX;6855.0687556533985;296463.66365813976;0.02312279579583879
Piemonte - U02;1;ITALEX;5955.995601256848;284903.5752418574;0.02090530312299783
Piemonte - U03;1;ITALEX;26217.85537789688;256385.53065121174;0.10225949690415172
Piemonte - U04;1;ITALEX;6590.32860695279;254088.0948550552;0.025937179822266957
Piemonte - U05;1;ITALEX;9388.455730557216;283925.23061427474;0.03306664825188381
Valle d'aosta/Vallée d'Aoste - U01;2;ITALEX;1519.100666715872;61938.0;0.024526149806514127
Lombardia - U01;3;ITALEX;7845.073106370564;298723.4623938352;0.02626199175486145
Lombardia - U02;3;ITALEX;6584.000216949446;250741.36705390736;0.02625813320836661
Lombardia - U03;3;ITALEX;5438.436617209457;263094.2421939671;0.020671059054192267
Lombardia - U04;3;ITALEX;5925.191489512702;288145.1839722791;0.020563215417415178
Lombardia - U05;3;ITALEX;6793.494968626563;299906.14369349927;0.022652070027513137
Lombardia - U06;3;ITALEX;7244.781256976586;300600.95131127536;0.024100992446542662
Lombardia - U07;3;ITALEX;9677.630196675726;313084.5897071101;0.030910592583713963
Lombardia - U08;3;ITALEX;8259.079084896272;279591.9773825258;0.029539757049597142
Lombardia - U09;3;ITALEX;5463.324393253347;268964.2204530053;0.02031245785796972
Lombardia - U10;3;ITALEX;7540.154403775205;274274.2146000862;0.02749129886223302
Lombardia - U11;3;ITALEX;7323.972809443187;270597.8844897002;0.027065890863318853
Trentino-Alto Adige/Südtirol - U01;4;ITALEX;3158.148363712981;116335.0;0.02714701821217158
Trentino-Alto Adige/Südtirol - U02;4;ITALEX;2496.364210396261;91603.0;0.027251991860487768
Trentino-Alto Adige/Südtirol - U03;4;ITALEX;1583.9990502774554;62210.0;0.025462129083386197
