COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Puglia - U04;16;ALTRI;6244.188235667724;242377.92115074396;0.025762198990824037
Puglia - U05;16;ALTRI;6993.174615180065;254685.83316797018;0.027458043222089754
Basilicata - U01;17;ALTRI;8216.793638551035;276215.0;0.029747818324678366
Calabria - U01;18;ALTRI;4319.782441632924;202176.98605054617;0.021366341075798496
Calabria - U02;18;ALTRI;5642.99825340004;205483.29352986813;0.027462078091423033
Sicilia - U01;19;ALTRI;5629.966164660757;232841.1329860687;0.024179431239056925
Sicilia - U02;19;ALTRI;5408.8570777769655;239444.15840884298;0.022589221276977326
Sicilia - U03;19;ALTRI;10067.387433032975;213472.043840006;0.04716021476132175
Sicilia - U04;19;ALTRI;6609.21094632583;247416.922534734;0.02671284922072372
Sicilia - U05;19;ALTRI;6618.197260812325;274350.733809188;0.024123125784731112
Sicilia - U06;19;ALTRI;6230.347176500018;219474.65565258265;0.028387547336501322
Sardegna - U01;20;ALTRI;7243.128024100006;268314.06698548794;0.026994961932024827
Sardegna - U02;20;ALTRI;6507.749517858932;239644.55647927523;0.027155841190249323
