COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Emilia-Romagna - U11;Emilia-Romagna;AZIONE-IV;7110.526301999298;159788.7605141364
Toscana - U01;Toscana;AZIONE-IV;12359.411969558192;149355.4139021486
Toscana - U02;Toscana;AZIONE-IV;12414.457293636051;149406.66788220406
Toscana - U03;Toscana;AZIONE-IV;12705.427902144396;152437.21486014128
Toscana - U04;Toscana;AZIONE-IV;12203.330029180373;145871.1063478291
Toscana - U05;Toscana;AZIONE-IV;12922.468619447063;153910.1246420741
Toscana - U06;Toscana;AZIONE-IV;12605.975625006926;149708.33666154742
Toscana - U07;Toscana;AZIONE-IV;10886.098594589717;129478.44414955378
Toscana - U08;Toscana;AZIONE-IV;12721.650167625758;150890.525398463
Toscana - U09;Toscana;AZIONE-IV;12909.380886506411;152665.4813413322
Umbria - U01;Umbria;AZIONE-IV;5389.6241894471;164847.33504608274
Umbria - U02;Umbria;AZIONE-IV;5496.8002197314645;166781.36907577515
Marche - U01;Marche;AZIONE-IV;3750.2232368435166;139661.4317945838
Marche - U02;Marche;AZIONE-IV;4163.733712515542;143917.76110163797
Marche - U03;Marche;AZIONE-IV;6258.37570724125;143457.31587794423
Marche - U04;Marche;AZIONE-IV;5723.614063159515;136705.5038907528
Lazio 1 - U01;Lazio 1;AZIONE-IV;8208.58964174546;117779.3136776532
Lazio 1 - U02;Lazio 1;AZIONE-IV;10532.012931250902;151245.0404467024
Lazio 1 - U03;Lazio 1;AZIONE-IV;10178.921584741407;145990.37477337196
Lazio 1 - U04;Lazio 1;AZIONE-IV;10110.209093784697;145063.93301572406
Lazio 1 - U05;Lazio 1;AZIONE-IV;10948.50427102146;156877.22077150503
Lazio 1 - U06;Lazio 1;AZIONE-IV;11015.168535819694;157605.0334701985
Lazio 1 - U07;Lazio 1;AZIONE-IV;10190.9612297633;145916.20750663537
Lazio 1 - U08;Lazio 1;AZIONE-IV;10903.387692177464;155503.2782868743
Lazio 1 - U09;Lazio 1;AZIONE-IV;10294.158522437692;146216.8761858344
Lazio 2 - U01;Lazio 2;AZIONE-IV;11086.567347079552;156843.07686042786
Lazio 2 - U02;Lazio 2;AZIONE-IV;10192.355385177207;143712.79618211437
Lazio 2 - U03;Lazio 2;AZIONE-IV;11440.605748034404;160518.01508493721
Lazio 2 - U04;Lazio 2;AZIONE-IV;9950.88051255622;138931.90569519997
Lazio 2 - U05;Lazio 2;AZIONE-IV;9641.116148222858;133985.94785016775
Abruzzo - U01;Abruzzo;AZIONE-IV;3274.1364872869926;136305.1880313158
Abruzzo - U02;Abruzzo;AZIONE-IV;4199.504752733989;151112.41444548965
Abruzzo - U03;Abruzzo;AZIONE-IV;7308.7053749333345;143087.27421835065
Molise - U01;Molise;AZIONE-IV;1466.3305111498921;80368.12514704466
Campania 1 - U01;Campania 1;AZIONE-IV;2065.7171883024216;144315.62187364697
Campania 1 - U02;Campania 1;AZIONE-IV;3132.175285086396;102840.80699807405
Campania 1 - U03;Campania 1;AZIONE-IV;2412.005275135352;109623.68663460016
Campania 1 - U04;Campania 1;AZIONE-IV;1560.0554948430217;144440.5915197134
Campania 1 - U05;Campania 1;AZIONE-IV;1808.3113824210618;131289.49548742175
Campania 1 - U06;Campania 1;AZIONE-IV;1589.0155968424315;122962.94953491539
Campania 1 - U07;Campania 1;AZIONE-IV;2852.079723713968;124879.43610522151
Campania 2 - U01;Campania 2;AZIONE-IV;3493.6094421419657;146919.712641716
Campania 2 - U02;Campania 2;AZIONE-IV;4203.444669618987;152167.38775396347
Campania 2 - U03;Campania 2;AZIONE-IV;3002.6649498126485;132657.59531963803
Campania 2 - U04;Campania 2;AZIONE-IV;2316.5486219138957;127699.89764669538
Campania 2 - U05;Campania 2;AZIONE-IV;4967.0327710671045;153587.94384020567
Campania 2 - U06;Campania 2;AZIONE-IV;3511.2436854113935;136932.22300910018
Campania 2 - U07;Campania 2;AZIONE-IV;3505.5982472861497;124357.14047966897
Puglia - U01;Puglia;AZIONE-IV;1561.4944480535385;102947.97077968718
Puglia - U02;Puglia;AZIONE-IV;1521.4496171588708;110787.80824098736
Puglia - U03;Puglia;AZIONE-IV;2000.4739756101221;140144.58267345652
Puglia - U04;Puglia;AZIONE-IV;3490.1168005199484;142385.0462103784
Puglia - U05;Puglia;AZIONE-IV;4162.5241485081215;155022.90193790197
Puglia - U06;Puglia;AZIONE-IV;2654.9218835690426;146019.6937366724
Puglia - U07;Puglia;AZIONE-IV;2057.5453070860153;118538.85163891315
Puglia - U08;Puglia;AZIONE-IV;2459.589289645996;127565.16245821118
Puglia - U09;Puglia;AZIONE-IV;5040.904598910664;139369.32061704993
Puglia - U10;Puglia;AZIONE-IV;3621.1520579879816;142511.10071244836
Basilicata - U01;Basilicata;AZIONE-IV;3109.295234207974;152766.11077153683
Calabria - U01;Calabria;AZIONE-IV;1081.7705350564904;104175.83897622116
Calabria - U02;Calabria;AZIONE-IV;2120.5226345859123;120919.8990795482
Calabria - U03;Calabria;AZIONE-IV;1548.1743802012131;108669.00457540154
Calabria - U04;Calabria;AZIONE-IV;1802.1268080704253;112757.23446691409
Calabria - U05;Calabria;AZIONE-IV;2120.011096692983;116825.8727338314
