ALTRI;AZN;FDI;FI;LEGA;LEUV;M5S;PD;SVP;CODICE_REGIONE;SU20_COD;COLLEGIOUNINOMINALE
14737.283898671158;2836.168643621728;9714.806604335085;50365.583828925155;9271.97319556307;5676.072324522771;111979.27485628799;35322.43846983649;0.0;15;150006;Campania - U06
13067.9944460392;1897.4631533175707;6184.716240823269;46450.08838430047;7512.562463074923;5287.436930313706;117281.44735345244;26917.697261594236;0.0;15;150007;Campania - U07
16307.037796497345;1686.545251250267;6489.209880530834;41362.89375299215;15193.556970000267;4481.756127774715;89105.47352021933;27965.524533391;0.0;16;160001;Puglia - U01
16111.532127052546;2388.0097582936287;9287.048911243677;48201.56924507022;14663.318694889545;6528.539492994547;107085.38140150905;32631.347129315138;0.0;16;160002;Puglia - U02
16342.874597996473;3235.5495727062225;9759.00164425373;48322.5851316452;14884.273115754128;7765.422209978104;111013.08042171597;33890.612620562315;0.0;16;160003;Puglia - U03
16715.964145183563;2721.0150253474712;9717.49035859108;50451.001570403576;16274.254165500402;6579.646878182888;106624.31708008051;33294.23192745447;0.0;16;160004;Puglia - U04
27846.06396612525;2686.2706954479218;10665.65338987112;44416.19240561128;19292.379046350718;9341.257489264011;102151.56896987557;38286.44720542431;0.0;16;160005;Puglia - U05
24882.0;3774.0;10446.0;35604.0;20237.0;15570.0;118218.0;47484.0;0.0;17;170001;Basilicata - U01
13266.092941522598;1515.9890303611755;6766.049232125282;36222.91705545783;10418.325098246336;5348.2735485732555;100944.97831857204;27694.360825687647;0.0;18;180001;Calabria - U01
14621.37449592352;1639.7392041683197;9834.945526018739;50219.470697268844;13376.871471345425;5635.242296859622;79556.90656784177;30598.74327044189;0.0;18;180002;Calabria - U02
15817.769233316183;3099.048548221588;7627.729359045625;52202.295922353864;12478.183631062508;7663.516168132424;108080.28774885833;25872.3023750782;0.0;19;190001;Sicilia - U01
17410.368006132543;2104.1031226441264;8031.316381908953;54145.80239267647;13126.92968018353;6446.784569837153;113680.47929130495;24498.374964155257;0.0;19;190002;Sicilia - U02
15287.51578905806;1756.9723681416363;7631.251594520174;41435.67121506948;12274.329947011545;5690.32001156453;107025.85259871837;22370.1303159222;0.0;19;190003;Sicilia - U03
16283.228835955262;2216.462070956826;10622.984554976225;54534.809696897864;12963.803901016712;5319.266098663211;119893.12257628143;25583.24479998648;0.0;19;190004;Sicilia - U04
14014.687207497656;2567.7293485179543;10050.918754979968;53345.736672364175;14707.01017716527;6657.233119063079;142186.24657272547;30821.17195687443;0.0;19;190005;Sicilia - U05
14063.099342733622;2355.4978006482124;8942.482101202011;46108.65749108791;13693.690037727356;6165.851990014315;99097.01770296693;29048.359186202288;0.0;19;190006;Sicilia - U06
22684.715158700943;4442.912455230951;11961.656007349491;37426.54324930906;31335.09708842635;8166.771861851215;112968.15841469169;39328.212749928236;0.0;20;200001;Sardegna - U01
18708.454248428345;2969.618267595768;10407.861982643604;34180.580440700054;28043.31920236349;6056.819575369358;100801.3009596467;38476.601802527905;0.0;20;200002;Sardegna - U02
