ALTRI;AZIONE-IV;FDI;FI;LEGA;M5S;PD;SI-VERDI;SVP;CIRCOSCRIZIONE;CU20_COD;COLLEGIOUNINOMINALE
6114.505701096728;10232.844912862405;4719.341272599995;14176.349973477423;16936.050796482712;23049.700851297006;31926.605474175885;6646.732139578089;0.0;Piemonte 1;10101;Piemonte 1 - U01
5157.346003987594;5240.919891003054;3672.781492651673;12736.463390056742;20082.805252802093;27737.62356891646;25681.031775908545;5062.609519145917;0.0;Piemonte 1;10102;Piemonte 1 - U02
7531.188947109106;6179.701973921552;5569.32492076784;19456.691927411925;32447.946091085516;52410.461598798334;35150.69879370125;6780.639633556126;0.0;Piemonte 1;10103;Piemonte 1 - U03
7235.544145531952;5544.192532628775;5697.627347003669;19321.53449096717;36193.75436206162;40572.69596816227;29399.589540893212;5234.027661573142;0.0;Piemonte 1;10104;Piemonte 1 - U04
7948.105154557154;5655.715638598427;5476.735378040001;20569.773697379977;31292.005825452507;47965.49616031349;28405.892033878714;5977.356032596901;0.0;Piemonte 1;10105;Piemonte 1 - U05
6901.543317750096;3682.257361650467;5417.795963957906;20835.28877288103;34941.73301842809;34813.39613741636;24578.908866107464;4688.387841284275;0.0;Piemonte 2;10201;Piemonte 2 - U01
6904.571674257517;4126.704608261585;6405.878428936005;22222.818133473396;38051.99973195791;32950.340604007244;27649.422707527876;3801.327578216791;0.0;Piemonte 2;10202;Piemonte 2 - U02
7050.176864919253;4025.742695139721;6542.711129853502;20265.448888205923;33472.62926175073;30305.84341857303;23380.004681113176;3238.04163208697;0.0;Piemonte 2;10203;Piemonte 2 - U03
7849.653846085072;4759.273470282555;6270.667863368988;20545.853296101093;38983.99026030302;33867.0579405427;24394.82163310051;4131.593499362469;0.0;Piemonte 2;10204;Piemonte 2 - U04
9738.127128005028;6179.529942154884;7655.197980463505;21733.002395689487;43704.88761204481;34091.86970716715;27423.542212843895;4202.572740375996;0.0;Piemonte 2;10205;Piemonte 2 - U05
18821.0;0.0;5533.0;0.0;11588.0;15999.0;14429.0;0.0;0.0;Valle d'Aosta/Vallée d'Aoste;20001;Valle d'aosta/Vallée d'Aoste - U01
7847.660632789135;5691.112386234105;5817.603943176568;21344.542078454047;37734.946973361075;35626.7585137561;36231.56849780679;5047.989925414324;0.0;Lombardia 1;30101;Lombardia 1 - U01
7684.480833958834;4735.67022321187;6330.699809126556;24376.724065769464;46229.1440756768;40663.532565612346;32145.29322868772;4165.056197708473;0.0;Lombardia 1;30102;Lombardia 1 - U02
8171.473469227552;5720.30710837245;6314.583725869656;21159.553814798594;37401.73961406946;40815.356424450874;36693.62549987435;5116.199584543705;0.0;Lombardia 1;30103;Lombardia 1 - U03
7408.9592733979225;4538.548377156258;6650.879085659981;23232.341049313545;41502.27411657572;42891.57406747341;31989.620825350285;4240.26741117239;0.0;Lombardia 1;30104;Lombardia 1 - U04
7383.207036435604;4280.832321584225;6569.366144537926;22222.04773375392;44668.84162825346;40310.684788286686;32686.79784706235;4141.502900898457;0.0;Lombardia 1;30105;Lombardia 1 - U05
6275.550141230226;4206.944293782115;4988.563667744398;19585.72609643638;35445.017919525504;38558.213860720396;31747.840344771743;4465.88191267848;0.0;Lombardia 1;30106;Lombardia 1 - U06
6555.303234651685;6118.807346209884;4720.048031788319;16703.163306403905;22372.638560336083;26090.39152880013;28562.865455571562;5091.049992285669;0.0;Lombardia 1;30107;Lombardia 1 - U07
6789.591087117791;6709.911290220916;4962.278297685087;17327.373626045883;22506.98115232587;25254.13891465217;29427.71071383357;5038.174103975296;0.0;Lombardia 1;30108;Lombardia 1 - U08
7148.763358658936;12667.317907420162;5684.091371446673;20067.068771778722;17377.93781494198;17045.75103011873;34523.33041347144;5080.651421482791;0.0;Lombardia 1;30109;Lombardia 1 - U09
9005.838473528624;4369.826907098293;5855.023654907942;21670.191463530064;45435.99831676483;33074.41697841883;28688.122343748808;3375.0609126985073;0.0;Lombardia 2;30201;Lombardia 2 - U01
9149.102762818336;4815.938709795475;6728.557057440281;24724.68692088127;52311.58435815573;40435.74604618549;32893.29319483042;3915.413937807083;0.0;Lombardia 2;30202;Lombardia 2 - U02
8626.178989112377;4852.570842564106;7031.70712262392;22717.698238670826;47639.41832011938;32665.407059669495;30340.458183288574;3480.7226400375366;0.0;Lombardia 2;30203;Lombardia 2 - U03
7081.754527486861;3246.068710051477;5113.474168203771;19278.19824435562;53829.9737643078;21618.276396274567;20953.450451254845;2801.237233042717;0.0;Lombardia 2;30204;Lombardia 2 - U04
7221.232716083527;3377.737735569477;4826.777355730534;16035.237283408642;43582.529469788074;23833.602723240852;27066.050696909428;3237.9845289587975;0.0;Lombardia 2;30205;Lombardia 2 - U05
7691.476283766329;2912.626769527793;6200.137914344668;20478.706325158477;56859.798262078315;26032.29416986555;28055.540188625455;2956.3987963199615;0.0;Lombardia 3;30301;Lombardia 3 - U01
8943.559230603278;3582.964279553853;7151.429436328821;22962.36892147921;69779.81069125514;26302.19045729004;35107.43309493363;3097.1785160563886;0.0;Lombardia 3;30302;Lombardia 3 - U02
8965.196830563247;2744.502388395369;7337.70325326547;19322.622658167034;59783.45073404163;26191.747854243964;28581.256297755986;3423.8543145284057;0.0;Lombardia 3;30303;Lombardia 3 - U03
